Country ,IOS,Region,Population,GDP_PPP,GDP,GDP_PC_PPP,GDP_PC,HDI
Netherlands,NLD,Western Europe,16759,"720,274.46","770,060.39","43,149.59","49,888.02",0.921
Netherlands Antilles,NCL,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
New Caledonia,NZL,Melanesia,n/a,n/a,n/a,n/a,n/a,n/a
New Zealand,NZL,Oceania,4506,"137,610.86","171,281.10","31,171.76","36,590.89",0.919
Nicaragua,NIC,Central America,6080,"24,228.41","10,507.36","4,110.81","1,634.96",0.599
Niger,NER,Western Africa,17831,"13,684.76","6,773.19",851.63,399.02,0.304
Nigeria,NGA,Western Africa,173615,"511,133.73","459,615.93","3,146.00","1,520.39",0.471
Niue,NIU,Polynesia,1,n/a,n/a,n/a,n/a,n/a
Northern Mariana Islands,MNP,Micronesia,n/a,n/a,n/a,n/a,n/a,n/a
Norway,NOR,Northern Europe,5043,"306,487.05","500,029.91","61,879.07","99,034.90",0.955
Oman,OMN,Western Asia,3632,"140,441.53","78,110.79","42,618.76","21,233.87",0.731
Pakistan,PAK,Southern Asia,182143,"788,129.24","225,143.27","4,449.94","1,254.74",0.515
Palau,PLW,Micronesia,21,n/a,228.42,n/a,n/a,0.791
Palestinian Territories,PSE,Western Asia,4326,"15,979.04",n/a,"3,832.95","2,344.75",0.67
Panama,PAN,Central America,3864,"57,229.68","36,252.50","15,368.54","8,410.77",0.78
Papua New Guinea,PNG,Melanesia,7321,n/a,"15,653.92",n/a,n/a,0.466
Paraguay,PRY,South America,6802,"47,232.66","25,502.06","7,192.74","3,836.31",0.669
Peru,PER,South America,30376,"327,222.43","203,790.27","10,981.47","6,065.62",0.741
Philippines,PHL,South-Eastern Asia,98394,"543,655.11","250,182.02","5,772.20","2,379.31",0.654
Pitcairn,PCN,Polynesia,n/a,n/a,n/a,n/a,n/a,n/a
Poland,POL,Eastern Europe,38217,"838,048.34","489,795.49","21,752.97","13,381.51",0.821
Portugal,PRT,Southern Europe,10608,"272,678.03","212,137.61","25,671.79","22,396.45",0.816
Puerto Rico,PRI,Caribbean,"3,667",n/a,"101,495.81",n/a,n/a,n/a
Qatar,QAT,Western Asia,2169,"258,067.71","192,390.10","146,520.74","97,090.69",0.834
Reunion,REU,Eastern Africa,n/a,n/a,n/a,n/a,n/a,n/a
Romania,ROM,Eastern Europe,21699,"344,779.44","169,396.06","16,145.59","8,549.16",0.786
Russian Federation,RUS,Eastern Europe,142834,"3,216,934.75","2,014,774.94","22,502.20","13,297.59",0.788
Rwanda,RWA,Eastern Africa,11777,"14,628.59","7,103.00","1,336.80",579.19,0.434
Saint Helena,SHN,Western Africa,n/a,n/a,n/a,n/a,n/a,n/a
Saint Kitts and Nevis,KNA,Caribbean,54,"1,090.28",767,"20,582.49","13,744.35",0.745
Saint Lucia,LCA,Caribbean,182,"1,773.53","1,238.64","9,893.04","6,755.13",0.725
Saint Martin (Dutch part),MAF,Caribbean,n/a,"1,234.11",n/a,"32,972.14","25,402.43",n/a
Saint Martin (French part),MAF,Caribbean,n/a,n/a,n/a,n/a,n/a,n/a
Saint Pierre and Miquelon,SPM,Northern America,n/a,n/a,n/a,n/a,n/a,n/a
Saint Vincent and the Grenadines,VCT,Caribbean,109,"1,080.78",712.59,"9,883.02","6,190.80",0.733
Samoa,WSM,Polynesia,190,n/a,683.72,n/a,n/a,0.702
San Marino,SMR,Southern Europe,31,n/a,n/a,n/a,n/a,n/a
Sao Tome and Principe,STP,Middle Africa,193,513.13,263.4,"3,044.81","1,473.28",0.525
